<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.07	13:00:00	144100	145100	143600	144600	1216	6487	100
2020.12.07	14:00:00	144600	144900	144100	144300	574	2808	100
2020.12.08	10:00:00	144400	144500	143900	144000	366	1513	0
2020.12.08	11:00:00	144000	144100	141300	141400	2885	18906	100
2020.12.08	12:00:00	141500	143300	141400	142900	2473	16109	100
2020.12.08	13:00:00	142900	145600	142800	145200	3165	20016	100
2020.12.08	14:00:00	145200	146600	144600	145900	1693	10038	100
2020.12.09	10:00:00	145700	146000	145000	145600	334	1732	0
2020.12.09	11:00:00	145600	145800	145200	145500	328	2165	100
2020.12.09	12:00:00	145500	146300	145100	145600	512	2711	100
2020.12.09	13:00:00	145600	146200	145500	146200	323	1562	100
2020.12.09	14:00:00	146200	146400	143700	145400	1911	12580	100
2020.12.10	10:00:00	145300	145300	144500	144700	529	2284	0
2020.12.10	11:00:00	144700	144800	144300	144700	427	1789	100
2020.12.10	12:00:00	144600	145000	144500	144800	287	1327	100
2020.12.10	13:00:00	144900	145000	143800	144600	671	3066	100
2020.12.10	14:00:00	144500	144900	144200	144600	688	3956	100
2020.12.12	10:00:00	143900	144400	143300	144200	464	2504	0
2020.12.12	11:00:00	144200	144200	143600	144000	533	3093	100
2020.12.12	12:00:00	144000	145000	143800	144500	819	4706	100
2020.12.12	13:00:00	144500	145500	144500	144600	779	4114	100
2020.12.12	14:00:00	144700	145200	144400	144800	541	3170	100
2020.12.13	10:00:00	144300	145000	144300	144500	179	1017	0
2020.12.13	11:00:00	144700	144700	144300	144600	166	773	100
2020.12.13	12:00:00	144600	145000	143800	144000	788	4490	100
2020.12.13	13:00:00	144000	144400	143700	144200	425	1823	100
2020.12.13	14:00:00	144200	145300	144100	144800	1051	6781	100
2020.12.14	10:00:00	144800	145300	144700	144900	513	3406	100
2020.12.14	11:00:00	145000	145300	144700	145100	813	4117	100
2020.12.14	12:00:00	145200	145500	145000	145200	414	2224	100
2020.12.14	13:00:00	145300	145700	145000	145000	607	3889	100
2020.12.14	14:00:00	145000	146500	144700	146100	926	5604	0
2020.12.15	10:00:00	146000	146400	145800	146000	402	1906	0
2020.12.15	11:00:00	145900	146100	145600	145800	321	1467	100
2020.12.15	12:00:00	145800	146100	145700	146000	155	904	100
2020.12.15	13:00:00	145900	146500	145700	146100	407	2141	100
2020.12.15	14:00:00	146200	146900	146100	146900	1000	5104	100
2020.12.16	10:00:00	147000	147300	146800	147000	310	1393	0
2020.12.16	11:00:00	146900	146900	146400	146600	250	1232	100
2020.12.16	12:00:00	146600	146600	146000	146600	587	3496	100
2020.12.16	13:00:00	146500	146600	146000	146300	239	1250	100
2020.12.16	14:00:00	146300	147600	146200	147400	1115	6409	100
2020.12.17	10:00:00	147600	148300	147500	148000	925	4905	0
2020.12.17	11:00:00	148000	148100	147400	147600	563	2385	100
2020.12.17	12:00:00	147600	148000	147400	147700	453	2769	100
2020.12.17	13:00:00	147700	148200	147500	147800	765	4603	100
2020.12.17	14:00:00	147800	148700	147700	148700	1952	14585	100
2020.12.19	10:00:00	147800	148600	147800	148400	279	1936	0
2020.12.19	11:00:00	148300	148700	148300	148500	260	1345	100
2020.12.19	12:00:00	148500	149000	147600	148500	651	3465	100
2020.12.19	13:00:00	148500	148500	148200	148400	132	634	100
2020.12.19	14:00:00	148300	148300	146900	147000	1005	6109	100
2020.12.20	10:00:00	145900	146400	145800	146200	607	4224	0
2020.12.20	11:00:00	146200	146700	145200	145600	691	3997	100
2020.12.20	12:00:00	145600	146000	144800	145300	597	4083	100
2020.12.20	13:00:00	145300	146200	144900	145900	658	5018	100
2020.12.20	14:00:00	145800	146000	144900	145000	549	3552	100
2020.12.21	10:00:00	144500	145500	144300	145400	766	4471	0
2020.12.21	11:00:00	145300	145300	144400	144500	916	3677	100
2020.12.21	12:00:00	144500	145000	144200	144900	879	4210	100
2020.12.21	13:00:00	144900	145600	144700	145300	877	4277	100
2020.12.21	14:00:00	145300	146300	145200	146000	844	5021	100
2020.12.22	10:00:00	146200	146200	145600	145900	420	2182	0
2020.12.22	11:00:00	145900	145900	145300	145600	531	2454	100
2020.12.22	12:00:00	145600	145900	145300	145900	321	1574	100
2020.12.22	13:00:00	145900	146400	145600	146300	933	4657	100
2020.12.22	14:00:00	146300	146800	146000	146100	1176	6555	100
2020.12.23	10:00:00	145200	145800	145100	145300	480	3397	0
2020.12.23	11:00:00	145400	145400	144500	144600	737	4334	100
2020.12.23	12:00:00	144600	144800	144300	144600	581	3143	100
2020.12.23	13:00:00	144600	144900	144500	144800	326	1685	100
2020.12.23	14:00:00	144800	144900	143500	143600	1110	6760	100
2020.12.24	10:00:00	143000	143400	142300	143100	1178	6183	0
2020.12.24	11:00:00	143100	143700	142900	143200	793	4397	100
2020.12.24	12:00:00	143200	143500	142800	142800	448	2184	100
2020.12.24	13:00:00	142800	143800	142800	143500	460	2466	100
2020.12.24	14:00:00	143500	143600	142800	143000	623	4128	100
2020.12.26	10:00:00	142500	143400	142400	143000	660	3596	0
2020.12.26	11:00:00	143200	143200	142100	142500	842	4198	100
2020.12.26	12:00:00	142500	143500	142500	142900	1011	5245	100
2020.12.26	13:00:00	142900	143200	142300	142600	365	1653	100
2020.12.26	14:00:00	142700	142900	142300	142900	500	2936	100
2020.12.27	10:00:00	142500	142500	142000	142400	542	2156	0
2020.12.27	11:00:00	142300	142600	141400	141800	1114	6114	100
2020.12.27	12:00:00	141700	141800	141000	141400	1008	5166	100
2020.12.27	13:00:00	141400	141500	140800	140900	1021	5588	100
2020.12.27	14:00:00	141000	141400	140600	140600	1133	6740	100
2020.12.28	10:00:00	140500	141100	140100	140900	627	2546	0
2020.12.28	11:00:00	140900	141000	140600	141000	640	3266	100
2020.12.28	12:00:00	141000	142500	141000	141700	1470	8424	100
2020.12.28	13:00:00	141500	141700	140400	140500	1148	6173	100
2020.12.28	14:00:00	140600	140700	139700	139900	1521	9911	100
2020.12.29	10:00:00	140000	140100	137900	138200	931	5328	0
2020.12.29	11:00:00	138200	138400	137200	137500	769	4533	100
2020.12.29	12:00:00	137500	138100	136700	136900	619	3744	100
2020.12.29	13:00:00	136900	137100	136200	136200	500	2992	100
2020.12.29	14:00:00	136200	136200	133300	133300	1251	7523	0
2020.12.30	10:00:00	132000	133200	129500	129700	1594	10660	100
2020.12.30	11:00:00	129500	130000	127800	129500	2488	20282	0
2020.12.30	12:00:00	129500	131300	128800	129700	1138	6641	100
2020.12.30	13:00:00	129700	130400	128200	129300	700	3519	100
2020.12.30	14:00:00	129200	129500	127800	127800	1175	6997	0
2020.12.31	10:00:00	127700	128800	126800	126900	829	4261	0
2020.12.31	11:00:00	126800	127600	125600	127100	1327	8212	100
2020.12.31	12:00:00	127100	127600	126400	127300	527	2567	100
2020.12.31	13:00:00	127300	128700	127100	127900	694	3206	100
2020.12.31	14:00:00	127900	130300	127500	129900	1212	6265	100
2021.01.02	10:00:00	130500	131300	129400	129600	639	3312	0
2021.01.02	11:00:00	129500	131000	129400	130500	649	2659	100
2021.01.02	12:00:00	130600	132200	130100	131700	2003	12876	100
2021.01.02	13:00:00	131600	131700	131000	131300	537	2338	100
2021.01.02	14:00:00	131400	131400	129600	130900	624	3088	100
2021.01.03	10:00:00	131000	133200	130800	133100	1001	5271	0
2021.01.03	11:00:00	132900	133200	132000	133100	916	5063	100
2021.01.03	12:00:00	133200	133800	132800	132800	635	3518	100
2021.01.03	13:00:00	132800	133500	132600	133400	275	1184	100
2021.01.03	14:00:00	133500	133500	131300	131800	901	5113	100
2021.01.04	10:00:00	131800	132800	131800	132600	473	2762	0
2021.01.04	11:00:00	132500	132600	129800	130500	1080	5920	100
2021.01.04	12:00:00	130600	131500	130000	131400	588	2698	100
2021.01.04	13:00:00	131400	131500	130200	130400	433	2876	100
2021.01.04	14:00:00	130400	134500	130100	134500	1378	9486	100
2021.01.05	10:00:00	134000	134500	133200	133600	422	2413	0
2021.01.05	11:00:00	133600	134000	132600	133200	377	1636	100
2021.01.05	12:00:00	133100	134000	132700	133300	313	1338	100
2021.01.05	13:00:00	133100	134300	133000	133700	464	2257	100
2021.01.05	14:00:00	133700	134700	133600	134300	499	2993	100
2021.01.06	10:00:00	134200	134300	133200	133800	606	3800	100
2021.01.06	11:00:00	133700	133900	132600	132600	844	4497	100
2021.01.06	12:00:00	132700	133700	132300	133200	929	5320	100
2021.01.06	13:00:00	133200	134200	133200	133900	471	2984	100
2021.01.06	14:00:00	133900	134900	133900	134700	717	4874	100
2021.01.07	10:00:00	134700	134700	133600	133700	350	1531	0
2021.01.07	11:00:00	133700	134400	133400	133900	305	1345	100
2021.01.07	12:00:00	133800	133800	132800	133200	526	3031	100
2021.01.07	13:00:00	133300	133400	131600	132800	686	4293	100
2021.01.07	14:00:00	133000	133000	132300	132400	314	1518	100
2021.01.09	10:00:00	131900	131900	130700	130900	408	1943	0
