Date,Open ,High,Low,Close,Volume
20170929,39250,39270,39215,39230,10
20171003,39260,39260,39200,39235,9
20171004,39240,39325,39235,39310,9
20171005,39380,39513,39375,39470,10
20171006,39505,39580,39465,39580,9
20171007,39600,39650,39550,39565,9
20171008,39595,39900,39535,39895,9
20171009,39900,40180,39840,40180,10
20171010,40175,41000,40095,40830,10
20171011,40780,40780,40195,40305,9
20171012,40240,40550,40185,40435,9
20171013,40460,40600,40410,40465,9
20171014,40460,40480,40280,40310,11
20171015,40220,40220,39955,39965,9
20171016,39950,40230,39945,40150,9
20171017,40250,40280,40120,40120,9
20171018,40155,40255,40130,40245,9
20171019,40315,40440,40300,40360,9
20171020,40320,40330,40235,40260,10
20171021,40250,40270,40215,40235,9
20171022,40250,40285,40165,40185,9
20171023,40230,40290,40190,40200,9
20171024,40300,40360,40250,40320,9
20171025,40405,40455,40360,40390,9
20171026,40485,40490,40360,40370,9
20171027,40380,40430,40355,40385,9
20171028,40390,40390,40365,40385,9
20171029,40510,40760,40500,40760,9
20171030,40840,40960,40710,40775,9
20171031,40850,40850,40580,40610,9
20171101,40630,40700,40570,40665,9
20171102,40750,40760,40660,40665,9
20171103,40630,40635,40585,40595,9
20171104,40600,40625,40595,40605,8
20171105,40660,40660,40553,40555,9
20171106,40580,40805,40570,40770,9
20171107,40810,40900,40765,40770,9
20171108,40840,40870,40690,40710,9
20171109,40775,40805,40715,40755,9
20171111,40775,40790,40755,40775,10
20171112,40840,40935,40785,40885,9
20171113,40930,41070,40930,41070,9
20171114,41100,41450,41100,41320,9
20171115,41355,41395,41115,41140,9
20171116,41095,41125,41050,41075,9
20171117,41050,41110,41030,41080,9
20171118,41075,41095,41075,41090,3
20171119,41070,41115,41030,41070,9
20171120,41080,41080,41055,41070,4
20171121,41080,41115,40980,40985,9
20171122,41015,41135,40995,41135,9
20171123,41250,41410,41220,41275,10
20171124,41280,41305,41190,41220,10
20171125,41230,41235,41205,41210,9
20171126,41260,41345,41235,41245,9
20171127,41250,41250,41155,41185,9
20171128,41190,41195,41170,41175,3
20171129,41235,41340,41195,41335,9
20171130,41430,41555,41420,41470,9
20171201,41475,41525,41435,41465,9
20171202,41460,41475,41445,41450,9
20171203,41490,41620,41485,41585,9
20171204,41580,41710,41545,41625,9
20171205,41680,41970,41680,41950,9
20171206,42100,42190,41975,42040,9
20171207,42030,42040,41930,41950,9
20171208,41945,41970,41910,41945,9
20171209,41940,41945,41855,41855,8
20171210,41850,42130,41835,42070,9
20171211,42000,42235,42000,42105,10
20171212,42185,42275,42125,42210,9
20171213,42275,42310,42140,42165,10
20171214,42220,42295,42045,42070,10
20171215,42050,42080,41995,42030,9
20171216,42040,42120,42035,42115,9
20171217,42075,42090,41770,41795,9
20171218,41740,41845,41685,41705,9
20171219,41720,41870,41720,41840,9
20171220,41870,41960,41765,41780,9
20171221,41805,41845,41690,41750,9
20171222,41760,41825,41740,41775,8
20171223,41770,41820,41765,41815,9
20171224,41840,41905,41770,41875,9
20171225,41880,41905,41780,41800,9
20171226,41780,41795,41700,41765,9
20171227,41740,41845,41710,41845,9
20171228,41840,41955,41815,41875,9
20171229,41885,42090,41885,42050,9
20171230,42010,42050,41940,42030,9
20171231,42095,42490,42055,42490,9
20180101,42290,42910,42230,42670,7
20180102,42500,43270,42500,42930,8
20180103,42850,43320,42720,43280,9
20180104,43170,43910,43170,43815,9
20180105,43600,43620,43110,43135,7
20180107,42900,43275,42770,43185,9
20180108,43160,43740,43150,43695,9
20180109,43680,44150,43600,43780,9
20180110,43410,43840,43380,43775,9
20180111,43810,44150,43810,44135,9
20180112,44150,44310,44040,44100,9
20180113,44090,44090,43940,43970,7
20180114,43630,44290,43630,44290,9
20180115,44350,44520,43930,43985,10
20180116,43950,44240,43850,44210,9
20180117,44260,44480,44200,44290,10
