<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.29	12:25:00	1709000	1709000	1709000	1709000	2	2	5000
2020.10.29	12:33:00	1710000	1710000	1710000	1710000	2	2	6000
2020.10.29	12:40:00	1710000	1710000	1710000	1710000	1	1	7000
2020.10.29	12:44:00	1710000	1710000	1710000	1710000	1	1	7000
2020.10.29	12:55:00	1710000	1710000	1710000	1710000	1	1	7000
2020.10.29	12:56:00	1710000	1710000	1710000	1710000	1	1	7000
2020.10.29	12:57:00	1710000	1710000	1710000	1710000	1	1	7000
2020.10.29	13:03:00	1710000	1710000	1710000	1710000	1	1	6000
2020.10.29	13:07:00	1710000	1710000	1710000	1710000	2	2	5000
2020.10.29	13:20:00	1709000	1709000	1709000	1709000	1	1	6000
2020.10.29	13:21:00	1710000	1710000	1710000	1710000	1	1	6000
2020.10.29	13:24:00	1704000	1704000	1704000	1704000	1	1	5000
2020.10.29	13:25:00	1710000	1710000	1710000	1710000	1	1	6000
2020.10.29	13:43:00	1710000	1713000	1710000	1713000	7	12	4000
2020.10.29	14:39:00	1709000	1709000	1709000	1709000	1	1	4000
2020.10.29	14:41:00	1705000	1705000	1705000	1705000	1	1	5000
2020.10.29	14:43:00	1704000	1704000	1704000	1704000	2	2	4000
2020.10.29	14:46:00	1704000	1704000	1704000	1704000	1	1	5000
2020.10.29	14:48:00	1703000	1703000	1703000	1703000	1	1	3000
2020.10.29	14:50:00	1705000	1705000	1705000	1705000	3	3	1000
2020.10.29	14:54:00	1704000	1705000	1704000	1705000	4	4	1000
2020.10.29	14:59:00	1705000	1705000	1705000	1705000	4	4	1000
2020.10.31	10:31:00	1701000	1701000	1700000	1700000	2	2	0
2020.10.31	10:37:00	1700000	1700000	1700000	1700000	2	2	0
2020.10.31	10:38:00	1699000	1699000	1699000	1699000	1	1	12000
2020.10.31	10:41:00	1698000	1698000	1698000	1698000	1	1	9000
2020.10.31	10:42:00	1699000	1699000	1699000	1699000	1	1	9000
2020.10.31	10:47:00	1698000	1698000	1698000	1698000	1	1	8000
2020.10.31	10:49:00	1697000	1697000	1694000	1694000	2	2	6000
2020.10.31	10:57:00	1699000	1699000	1696000	1696000	3	3	6000
2020.10.31	11:03:00	1696000	1696000	1696000	1696000	2	3	8000
2020.10.31	11:17:00	1697000	1697000	1697000	1697000	1	2	9000
2020.10.31	11:18:00	1696000	1696000	1696000	1696000	3	3	3000
2020.10.31	11:28:00	1696000	1696000	1696000	1696000	1	1	4000
2020.10.31	11:31:00	1695000	1695000	1695000	1695000	2	3	3000
2020.10.31	11:32:00	1695000	1695000	1695000	1695000	1	2	5000
2020.10.31	11:34:00	1694000	1694000	1694000	1694000	2	2	5000
2020.10.31	11:38:00	1700000	1700000	1700000	1700000	1	1	6000
2020.10.31	11:39:00	1700000	1703000	1700000	1703000	2	2	9000
2020.10.31	11:40:00	1705000	1705000	1705000	1705000	1	1	9000
2020.10.31	11:43:00	1705000	1705000	1705000	1705000	1	1	6000
2020.10.31	11:46:00	1703000	1703000	1703000	1703000	1	1	4000
2020.10.31	11:52:00	1700000	1700000	1700000	1700000	1	1	8000
