Date,Open,High,Low,Close,Volume USDT
10/28/19,9529.93,9902.1,9160,9205.14,686169013
10/27/19,9230,9794.98,9074.34,9529.93,805559742
10/26/19,8655.02,10060.21,8470.38,9230,870703558
10/25/19,7412.41,8706.07,7361,8655.02,516465761
10/24/19,7466.62,7503.68,7337.99,7412.41,226438628
10/23/19,8020,8047.59,7300,7466.62,440228029
10/22/19,8197.27,8297.99,8000,8020,263517971
10/21/19,8223.35,8333,8142.03,8197.27,230762590
10/20/19,7948.01,8297,7870,8223.35,253740748
10/19/19,7947.01,8098.1,7866.92,7948.01,196888320
10/18/19,8070.58,8115,7816.01,7947.01,226487426
10/17/19,7991.74,8124.92,7929.03,8070.58,222282155
10/16/19,8159.29,8181.16,7917,7991.74,256827673
10/15/19,8348.2,8403,8090,8159.29,250195564
10/14/19,8275.01,8388.85,8203,8348.2,229828173
10/13/19,8300.09,8451.37,8160,8275.01,213726841
10/12/19,8258.5,8400,8250,8300.09,166663251
10/11/19,8558.03,8779.51,8212.38,8258.5,385175740
10/10/19,8560.74,8644,8414.52,8558.03,308412478
10/9/19,8168.39,8670,8115,8560.74,421071103
10/8/19,8190.09,8325,8088.75,8168.39,268701596
10/7/19,7854.25,8299.92,7762,8190.09,386089592
10/6/19,8126.19,8153.87,7785,7854.25,252282865
10/5/19,8137.13,8183.41,8012.98,8126.19,167001608
10/4/19,8223.96,8232.41,8005,8137.13,200851365
10/3/19,8359.94,8393,8060,8223.96,231589726
10/2/19,8292.44,8373.91,8151.22,8359.94,201237637
10/1/19,8289.34,8500,8173.05,8292.44,335252268
9/30/19,8043.82,8337.26,7710,8289.34,411517221
9/29/19,8198.81,8229.13,7890,8043.82,235105958
9/28/19,8177.91,8315,8001.09,8198.81,261065455
9/27/19,8063.73,8265,7852.15,8177.91,324537959
9/26/19,8430.05,8465.99,7750,8063.73,499478545
9/25/19,8493.14,8730,8215.64,8430.05,466357350
9/24/19,9702.25,9794.99,8290.51,8694.23,392194282
9/23/19,10028.87,10049.99,9615.77,9702.25,287640572
9/22/19,9986.39,10089,9853.97,10028.87,202683536
9/21/19,10168.59,10176.7,9900,9986.39,190086139
9/20/19,10244.29,10281,10061.39,10168.59,237217067
9/19/19,10156.99,10325,9653,10244.29,410110429
9/18/19,10187.82,10258.02,10100,10156.99,230086616
9/17/19,10251.31,10275,10128.01,10187.82,217408000
9/16/19,10302.01,10355,10078,10251.31,274873865
9/15/19,10335.02,10360,10252.15,10302.01,175594783
9/14/19,10342.06,10419.99,10222.33,10335.02,228166803
9/13/19,10415.01,10439,10153,10342.06,288910051
9/12/19,10158.33,10448.81,10040.1,10415.01,329961215
9/11/19,10098.15,10293,9880,10158.33,300337746
9/10/19,10303.12,10384.99,9953,10098.15,274796104
9/9/19,10381.18,10480,10068.5,10303.12,383906446
9/8/19,10455.88,10592.5,10208,10381.18,231134800
9/7/19,10298.73,10558,10288.57,10455.88,272829558
9/6/19,10564.49,10905.87,10150,10298.73,569923965
9/5/19,10567.02,10900,10450,10564.49,326332027
9/4/19,10615.28,10799,10369.89,10567.02,427677459
9/3/19,10340,10773,10272,10615.28,463005116
9/2/19,9724.98,10450,9712.5,10340,415332937
9/1/19,9587.47,9830,9520,9724.98,176584928
8/31/19,9584.54,9684.51,9420.75,9587.47,155146259
8/30/19,9498.44,9696,9350.41,9584.54,239190867
8/29/19,9721,9724,9320,9498.44,311851908
8/28/19,10185.05,10299,9601.01,9721,385261333
8/27/19,10372.25,10391.08,10051.08,10185.05,268512030
8/26/19,10142.69,10604,10137.93,10372.25,397764603
8/25/19,10134.35,10333,9906.97,10142.69,246592422
8/24/19,10389.55,10419.42,9890,10134.35,260543191
8/23/19,10099.88,10445,10019.79,10389.55,263492577
8/22/19,10142.57,10242,9762,10099.88,317436429
8/21/19,10760.51,10804.13,9858,10142.57,446418935
8/20/19,10915.54,10949.96,10560,10760.51,326679449
8/19/19,10306.78,10930,10258.6,10915.54,369061080
8/18/19,10216.02,10500,10080,10306.78,234692610
8/17/19,10331.54,10465.14,10000,10216.02,275590038
8/16/19,10293.93,10536.03,9750,10331.54,483608042
8/15/19,10050.37,10460,9911,10293.93,352588729
8/14/19,10892.71,10897.48,9928.1,10050.37,520584896
8/13/19,11396.08,11456.16,10788.45,10892.71,340946581
8/12/19,11549.97,11577.89,11235.32,11396.08,186502616
8/11/19,11309.31,11599.98,11112.11,11549.97,283145959
8/10/19,11879.99,11985,11270,11309.31,451950654
8/9/19,11999.77,12045.68,11700,11879.99,435691680
8/8/19,11975.03,12060,11521,11999.77,563880694
8/7/19,11481.69,12141.17,11382.84,11975.03,751757281
8/6/19,11828.8,12330.7,11226.7,11481.69,822100144
8/5/19,10929.23,11937.52,10927.8,11828.8,694027649
8/4/19,10816.86,11040,10552,10929.23,400099182
8/3/19,10523.75,10904.77,10497.93,10816.86,338863354
8/2/19,10374.99,10670,10281.35,10523.75,413105112
8/1/19,10080.53,10467.86,9863.46,10374.99,388729402
7/31/19,9574.21,10109.8,9555,10080.53,361864379
7/30/19,9507.64,9714.28,9402,9574.21,293800695
7/29/19,9541.54,9729,9395,9507.64,257213873
7/28/19,9476.52,9594.99,9165,9541.54,259358247
7/27/19,9824,10188.66,9333,9476.52,318024838
7/26/19,9879.87,9889.98,9637,9824,192022928
7/25/19,9763.28,10175,9720.03,9879.87,350657596
7/24/19,9864.91,9937,9525,9763.28,390717391
7/23/19,10340.31,10343.97,9822,9864.91,439075342
7/22/19,10589.45,10683.16,10100,10340.31,389148528
7/21/19,10740.23,10817.9,10288,10589.45,378882278
7/20/19,10504.29,11068.99,10350,10740.23,464614040
7/19/19,10627.16,10769.71,10121.84,10504.29,535193156
7/18/19,9667.92,10788,9252,10627.16,731997592
7/17/19,9439.59,9957,9060,9667.92,732485976
7/16/19,10838.72,11028,9350.01,9439.59,881856939
7/15/19,10174.18,11100,9860,10838.72,772595532
7/14/19,11355.76,11452,10103,10174.18,703580672
7/13/19,11757.22,11799.98,10830,11355.76,556934216
7/12/19,11342.89,11885,11073,11757.22,596600067
7/11/19,12108.37,12111.73,11000,11342.89,911270591
7/10/19,12543.41,13147.08,11569,12108.37,1234817289
7/9/19,12238.6,12794.73,12068,12543.41,895385000
7/8/19,11406.24,12338.03,11220,12238.6,566740812
7/7/19,11256.49,11538,11094.37,11406.24,406877786
7/6/19,10970.73,11665,10964.51,11256.49,538340880
7/5/19,11145.67,11406.83,10796.44,10970.73,649273951
7/4/19,11940,12000,11055,11145.67,707664152
7/3/19,10842.85,11991.89,10841.04,11940,995193544
7/2/19,10624.93,10938.75,9727,10842.85,1021975623
7/1/19,10854.1,11282.28,10030,10624.93,881875767
6/30/19,11903.13,12180,10766.03,10854.1,887571780
6/29/19,12400.63,12441.54,11475.02,11903.13,752724243
6/28/19,11329.99,12480,10982.88,12400.63,1020820777
6/27/19,13299.99,13347.99,10525.1,11329.99,1622958316
6/26/19,11820.86,13964.74,11741,12666.45,1273660223
6/25/19,11056.59,11850,11026,11820.86,639404856
6/24/19,10906.07,11143.63,10620.8,11056.59,435340224
6/23/19,10729.5,11392.64,10555.18,10906.07,572220191
6/22/19,10159.86,11160,9921.72,10729.5,1011481805
6/21/19,9517.12,10174.99,9517.12,10159.86,456586005
6/20/19,9255.49,9590,9175.2,9517.12,300773682
6/19/19,9081.55,9304,8960,9255.49,272896676
6/18/19,9313.96,9336.36,8950,9081.55,439353122
6/17/19,8953.33,9444,8950,9313.96,408347177
6/16/19,8808.7,9333,8760,8953.33,524860630
6/15/19,8650,8864.99,8567.63,8808.7,257105510
6/14/19,8218.54,8684.41,8144.32,8650,309591286
6/13/19,8127.64,8309.82,8010.03,8218.54,233346870
6/12/19,7884.9,8200,7788.99,8127.64,311272490
6/11/19,7982.75,8010,7692.23,7884.9,224265423
6/10/19,7628.13,8020,7511,7982.75,267862715
