<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2020.11.21,11:47:00,141800,141800,141500,141500,69
2020.11.21,11:48:00,141800,141800,141400,141500,173
2020.11.21,11:49:00,141500,141500,141500,141500,12
2020.11.21,11:50:00,141500,141500,141300,141500,322
2020.11.21,11:52:00,141500,141500,141500,141500,20
2020.11.21,11:53:00,141400,141400,141400,141400,30
2020.11.21,11:54:00,141400,141400,141300,141400,33
2020.11.21,11:55:00,141500,141500,141500,141500,11
2020.11.21,11:56:00,141400,141700,141400,141700,40
2020.11.21,11:59:00,141500,141600,141500,141600,2
2020.11.21,12:01:00,141600,141600,141600,141600,2
2020.11.21,12:02:00,141500,141500,141500,141500,4
2020.11.21,12:03:00,141500,141500,141500,141500,1
2020.11.21,12:05:00,141600,141600,141600,141600,26
2020.11.21,12:06:00,141600,141600,141600,141600,19
2020.11.21,12:07:00,141600,141600,141600,141600,14
2020.11.21,12:08:00,141600,141600,141600,141600,9
2020.11.21,12:09:00,141600,141600,141600,141600,11
2020.11.21,12:10:00,141600,141600,141600,141600,1
2020.11.21,12:11:00,141600,141700,141600,141700,35
2020.11.21,12:14:00,141600,141600,141600,141600,2
2020.11.21,12:15:00,141600,141600,141600,141600,5
2020.11.21,12:16:00,141500,141500,141500,141500,1
2020.11.21,12:17:00,141500,141500,141500,141500,1
2020.11.21,12:18:00,141500,141600,141500,141500,34
2020.11.21,12:19:00,141600,141600,141500,141500,4
2020.11.21,12:20:00,141500,141500,141500,141500,7
2020.11.21,12:21:00,141500,141600,141500,141600,14
2020.11.21,12:22:00,141600,141600,141600,141600,4
2020.11.21,12:25:00,141700,141700,141700,141700,12
2020.11.21,12:26:00,141800,141800,141800,141800,50
2020.11.21,12:27:00,141800,141800,141800,141800,11
2020.11.21,12:28:00,141700,141700,141700,141700,3
2020.11.21,12:29:00,141900,142000,141700,142000,292
2020.11.21,12:30:00,142000,142000,141700,141700,23
2020.11.21,12:31:00,142100,142100,142100,142100,2
2020.11.21,12:32:00,141900,141900,141900,141900,1
2020.11.21,12:33:00,141900,142000,141900,142000,12
2020.11.21,12:34:00,142000,142100,141900,142100,10
2020.11.21,12:35:00,142000,142000,142000,142000,3
2020.11.21,12:36:00,142000,142100,142000,142100,13
2020.11.21,12:37:00,142000,142100,142000,142100,90
2020.11.21,12:38:00,142000,142500,142000,142400,267
2020.11.21,12:39:00,142400,142400,142300,142300,75
2020.11.21,12:40:00,142200,142600,142200,142600,267
2020.11.21,12:41:00,142500,142800,142400,142800,300
2020.11.21,12:42:00,142700,142900,142500,142500,135
2020.11.21,12:43:00,142600,142700,142500,142500,33
2020.11.21,12:44:00,142500,142700,142500,142500,30
2020.11.21,12:45:00,142500,142600,142500,142600,45
2020.11.21,12:46:00,142600,142600,142500,142500,5
2020.11.21,12:47:00,142500,142500,142200,142200,43
2020.11.21,12:48:00,142500,142600,142300,142500,44
2020.11.21,12:49:00,142500,142500,142500,142500,29
2020.11.21,12:50:00,142500,142600,142500,142500,35
2020.11.21,12:51:00,142400,142600,142400,142500,23
2020.11.21,12:52:00,142400,142400,142400,142400,1
2020.11.21,12:53:00,142400,142500,142300,142300,100
2020.11.21,12:54:00,142300,142300,142200,142200,128
2020.11.21,12:55:00,142200,142300,142100,142300,21
2020.11.21,12:56:00,142200,142200,142200,142200,1
2020.11.21,12:57:00,142200,142200,142000,142100,193
2020.11.21,12:58:00,142100,142200,142100,142100,56
2020.11.21,12:59:00,142100,142100,142100,142100,11
2020.11.21,13:00:00,142100,142100,142100,142100,20
2020.11.21,13:01:00,142100,142100,142100,142100,3
2020.11.21,13:03:00,142100,142100,142000,142100,29
2020.11.21,13:06:00,142200,142300,142200,142300,7
2020.11.21,13:07:00,142300,142300,142300,142300,20
2020.11.21,13:08:00,142400,142400,142400,142400,2
2020.11.21,13:09:00,142400,142400,142300,142400,42
2020.11.21,13:10:00,142300,142400,142100,142100,176
2020.11.21,13:11:00,142100,142100,142000,142000,59
