<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.11.21	12:21:00	1824000	1824000	1824000	1824000	2	4	3000
2020.11.21	12:22:00	1824000	1824000	1824000	1824000	1	1	3000
2020.11.21	12:23:00	1825000	1825000	1825000	1825000	1	1	4000
2020.11.21	12:24:00	1826000	1828000	1826000	1828000	5	6	1000
2020.11.21	12:25:00	1826000	1826000	1826000	1826000	1	1	2000
2020.11.21	12:28:00	1826000	1828000	1826000	1826000	4	4	1000
2020.11.21	12:29:00	1829000	1829000	1828000	1829000	4	4	1000
2020.11.21	12:30:00	1830000	1837000	1830000	1831000	9	10	1000
2020.11.21	12:31:00	1833000	1835000	1831000	1831000	3	4	4000
2020.11.21	12:32:00	1831000	1831000	1831000	1831000	1	1	5000
2020.11.21	12:35:00	1830000	1831000	1830000	1831000	2	3	5000
2020.11.21	12:36:00	1831000	1831000	1831000	1831000	1	1	5000
2020.11.21	12:37:00	1832000	1832000	1832000	1832000	2	2	5000
2020.11.21	12:39:00	1833000	1833000	1833000	1833000	6	6	1000
2020.11.21	12:40:00	1833000	1833000	1833000	1833000	1	1	5000
2020.11.21	12:42:00	1834000	1834000	1834000	1834000	2	3	3000
2020.11.21	12:45:00	1833000	1837000	1833000	1836000	16	21	4000
2020.11.21	12:46:00	1837000	1837000	1837000	1837000	1	1	3000
2020.11.21	12:47:00	1836000	1836000	1836000	1836000	2	3	3000
2020.11.21	12:48:00	1836000	1836000	1836000	1836000	3	4	3000
2020.11.21	12:49:00	1836000	1836000	1836000	1836000	1	2	3000
2020.11.21	12:50:00	1836000	1836000	1836000	1836000	1	1	3000
2020.11.21	12:51:00	1834000	1834000	1830000	1830000	4	4	1000
2020.11.21	12:52:00	1830000	1830000	1830000	1830000	1	1	4000
2020.11.21	12:54:00	1835000	1835000	1835000	1835000	1	1	4000
2020.11.21	12:55:00	1832000	1832000	1832000	1832000	1	1	3000
2020.11.21	12:57:00	1836000	1836000	1836000	1836000	2	2	2000
2020.11.21	13:00:00	1835000	1835000	1835000	1835000	1	1	2000
2020.11.21	13:01:00	1834000	1834000	1834000	1834000	1	1	3000
2020.11.21	13:02:00	1834000	1834000	1834000	1834000	2	15	2000
2020.11.21	13:03:00	1833000	1833000	1833000	1833000	1	2	2000
2020.11.21	13:07:00	1831000	1831000	1831000	1831000	2	7	1000
2020.11.21	13:10:00	1833000	1833000	1833000	1833000	1	1	1000
2020.11.21	13:12:00	1834000	1834000	1834000	1834000	1	1	2000
2020.11.21	13:13:00	1833000	1833000	1833000	1833000	2	2	2000
2020.11.21	13:16:00	1834000	1834000	1834000	1834000	4	7	2000
2020.11.21	13:24:00	1833000	1833000	1833000	1833000	2	5	2000
2020.11.21	13:27:00	1831000	1831000	1831000	1831000	2	5	2000
2020.11.21	13:28:00	1831000	1831000	1830000	1830000	7	11	1000
2020.11.21	13:29:00	1829000	1829000	1829000	1829000	2	2	1000
2020.11.21	13:30:00	1830000	1830000	1829000	1829000	2	2	1000
2020.11.21	13:32:00	1829000	1829000	1829000	1829000	1	1	2000
2020.11.21	13:33:00	1829000	1829000	1829000	1829000	2	2	1000
2020.11.21	13:34:00	1830000	1830000	1830000	1830000	1	1	2000
2020.11.21	13:38:00	1831000	1831000	1831000	1831000	2	2	2000
2020.11.21	13:41:00	1830000	1830000	1829000	1829000	3	3	1000
2020.11.21	13:46:00	1831000	1831000	1831000	1831000	1	1	1000
2020.11.21	13:49:00	1831000	1831000	1830000	1830000	2	3	1000
2020.11.21	13:50:00	1830000	1831000	1830000	1831000	2	2	1000
2020.11.21	13:52:00	1829000	1829000	1829000	1829000	2	2	3000
2020.11.21	13:55:00	1829000	1829000	1829000	1829000	1	10	3000
2020.11.21	13:58:00	1827000	1827000	1827000	1827000	1	1	3000
2020.11.21	14:01:00	1827000	1827000	1827000	1827000	1	1	4000
2020.11.21	14:02:00	1826000	1830000	1826000	1830000	2	2	4000
2020.11.21	14:12:00	1828000	1828000	1824000	1824000	3	3	3000
2020.11.21	14:13:00	1824000	1824000	1824000	1824000	1	1	3000
2020.11.21	14:22:00	1824000	1824000	1824000	1824000	1	1	4000
2020.11.21	14:26:00	1827000	1828000	1827000	1828000	2	4	2000
2020.11.21	14:34:00	1825000	1825000	1825000	1825000	1	1	2000
2020.11.21	14:35:00	1824000	1824000	1823000	1823000	2	2	2000
2020.11.21	14:37:00	1823000	1823000	1822000	1822000	3	3	2000
2020.11.21	14:38:00	1825000	1826000	1825000	1826000	3	3	3000
2020.11.21	14:39:00	1827000	1827000	1827000	1827000	1	15	4000
2020.11.21	14:40:00	1827000	1828000	1827000	1828000	3	8	2000
2020.11.21	14:41:00	1827000	1829000	1827000	1829000	3	23	1000
2020.11.21	14:42:00	1832000	1835000	1832000	1835000	5	6	4000
2020.11.21	14:43:00	1834000	1835000	1834000	1835000	3	4	3000
2020.11.21	14:45:00	1834000	1834000	1834000	1834000	2	2	2000
2020.11.21	14:47:00	1831000	1831000	1830000	1830000	9	9	2000
2020.11.21	14:58:00	1832000	1833000	1832000	1833000	4	4	2000
2020.11.21	14:59:00	1831000	1833000	1831000	1833000	4	4	2000
2020.11.22	10:31:00	1828000	1828000	1825000	1826000	4	4	17000
2020.11.22	10:34:00	1826000	1826000	1826000	1826000	1	1	13000
2020.11.22	10:36:00	1825000	1838000	1825000	1838000	2	2	0
