Date,Open,High,Low,Close,Volume
2020.07.14,1822083,1846165,1822083,1835371,42
2020.07.15,1844907,1845125,1838572,1844948,38
2020.07.18,1841701,1841701,1809583,1810836,43
2020.07.19,1809172,1858726,1797988,1858726,44
2020.07.20,1865028,1924884,1865028,1923073,42
2020.07.21,1924845,1924845,1901246,1915617,43
2020.07.22,1916194,1916194,1888596,1894246,41
2020.07.25,1901147,1956886,1901147,1949133,37
2020.07.26,1952910,1964181,1935966,1938567,34
2020.07.27,1946086,1946086,1900339,1926391,38
2020.07.28,1959959,1959959,1946264,1946264,11
2020.07.29,1941194,1941194,1899588,1903025,29
2020.08.01,1904324,1954811,1904324,1954811,24
2020.08.02,1961622,2013734,1961622,2005889,23
2020.08.03,2011524,2015363,1992599,1992599,20
2020.08.04,1993340,1994330,1986391,1994303,22
2020.08.05,1995044,2026756,1995044,2026756,18
2020.08.09,2034193,2083102,2034193,2080658,21
2020.08.10,2078547,2103311,2065992,2071309,18
2020.08.11,2065114,2065114,2002877,2002877,15
2020.08.12,1999843,2039105,1984170,1984170,14
2020.08.15,1975440,1975440,1905005,1905005,13
2020.08.16,1903268,1903268,1837486,1837486,12
2020.08.17,1798772,1814215,1794315,1814215,16
2020.08.18,1843486,1855380,1843486,1845328,27
2020.08.19,1808027,1808027,1758097,1758097,44
2020.08.22,1757229,1779566,1727222,1727222,43
2020.08.23,1727240,1727240,1662205,1662205,44
2020.08.24,1607513,1608427,1607251,1608427,11
2020.08.25,1608582,1650470,1608582,1650470,44
2020.08.26,1650044,1718766,1650044,1718766,44
2020.08.31,1718783,1762489,1718783,1727953,43
2020.09.01,1728035,1728035,1684739,1684739,43
2020.09.02,1684787,1684787,1631956,1631956,43
2020.09.05,1631941,1645288,1631941,1642038,41
2020.09.06,1642008,1669279,1642008,1647858,43
2020.09.07,1647782,1647782,1607211,1607211,43
2020.09.08,1607195,1607195,1570289,1570289,42
2020.09.09,1570010,1570010,1546144,1555570,30
2020.09.12,1556280,1590461,1556280,1583762,44
2020.09.13,1583754,1593279,1574731,1578185,43
2020.09.14,1578190,1607489,1578190,1607489,44
2020.09.15,1607587,1667257,1607587,1667257,44
2020.09.16,1664593,1712046,1664593,1704107,43
2020.09.19,1704109,1712995,1686002,1697253,43
2020.09.20,1699494,1699494,1652253,1652253,43
2020.09.21,1652236,1652236,1595154,1595154,44
2020.09.22,1595160,1595160,1566527,1579524,40
2020.09.23,1581180,1621854,1581180,1611267,40
2020.09.26,1611583,1634894,1611583,1615656,35
2020.09.27,1615531,1615531,1572491,1572838,35
2020.09.28,1570888,1570888,1520277,1520277,34
2020.09.29,1515930,1515930,1483586,1492913,30
2020.09.30,1492940,1502880,1488990,1502367,25
2020.10.03,1503427,1545852,1503427,1545852,24
2020.10.04,1546155,1546155,1523886,1523886,23
2020.10.05,1522981,1522981,1489889,1490108,21
2020.10.06,1490173,1512964,1490173,1512964,15
2020.10.07,1514698,1541921,1514698,1540627,20
2020.10.10,1540700,1542115,1534060,1541484,18
2020.10.11,1541823,1599983,1541823,1598800,19
2020.10.12,1597125,1597125,1579326,1579326,19
2020.10.13,1579507,1587446,1571075,1578799,15
2020.10.14,1579676,1580971,1560974,1560974,14
2020.10.18,1561416,1561416,1514399,1514399,41
2020.10.19,1514273,1514273,1462545,1462545,44
2020.10.20,1462283,1462283,1419313,1419313,44
2020.10.21,1419305,1431082,1412287,1412287,44
2020.10.24,1412355,1412355,1374056,1374056,44
2020.10.26,1374057,1374057,1336586,1336586,41
2020.10.27,1336587,1336587,1301740,1301740,43
2020.10.28,1302029,1302029,1278848,1287419,42
2020.10.31,1288331,1312186,1288331,1305801,43
