<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Zaferan.9908-44,20200803,97300.00,100000.00,97300.00,98909.00,64129737045,648373,528,D,98408.00,99999.00
Zaferan.9908-44,20200802,100435.00,100435.00,96001.00,98408.00,25621688716,260362,478,D,95653.00,98201.00
Zaferan.9908-44,20200801,95998.00,98368.00,94001.00,95653.00,19801256600,207012,469,D,93685.00,97500.00
Zaferan.9908-44,20200729,93300.00,94999.00,92500.00,93685.00,11597141837,123789,213,D,94153.00,92999.00
Zaferan.9908-44,20200728,94999.00,95500.00,92000.00,94153.00,16883930111,179325,347,D,94516.00,93120.00
Zaferan.9908-44,20200727,94444.00,96951.00,93004.00,94516.00,8140863977,86132,484,D,96951.00,93500.00
Zaferan.9908-44,20200726,98000.00,99000.00,95000.00,96951.00,9610512013,99128,346,D,98967.00,96800.00
Zaferan.9908-44,20200725,101000.00,101000.00,96000.00,98967.00,23513847701,237594,498,D,98034.00,96351.00
Zaferan.9908-44,20200722,99860.00,100800.00,94900.00,98034.00,32360123872,330090,468,D,97326.00,98975.00
Zaferan.9908-44,20200721,96999.00,101445.00,96622.00,97326.00,22048452871,226543,277,D,101707.00,96622.00
Zaferan.9908-44,20200720,105897.00,105899.00,95815.00,101707.00,42848992898,421298,440,D,100857.00,96999.00
Zaferan.9908-44,20200719,99124.00,100899.00,99124.00,100857.00,8775199450,87006,103,D,96095.00,100899.00
Zaferan.9908-44,20200718,94500.00,100239.00,92000.00,96095.00,49781991060,518049,515,D,95466.00,99790.00
Zaferan.9908-44,20200715,98500.00,98500.00,94580.00,95466.00,26057992332,272955,199,D,99201.00,95900.00
Zaferan.9908-44,20200714,100000.00,102500.00,96744.00,99201.00,16652672696,167868,245,D,101835.00,99000.00
Zaferan.9908-44,20200713,102000.00,102989.00,101737.00,101835.00,39185099271,384789,268,D,107091.00,101737.00
Zaferan.9908-44,20200712,107091.00,107091.00,107091.00,107091.00,2548979982,23802,29,D,112727.00,107091.00
Zaferan.9908-44,20200711,112727.00,112727.00,112727.00,112727.00,8555641119,75897,46,D,118660.00,112727.00
Zaferan.9908-44,20200708,117000.00,119999.00,115220.00,118660.00,19119390561,161127,148,D,121284.00,115220.00
Zaferan.9908-44,20200707,122024.00,123500.00,121157.00,121284.00,46518995400,383553,218,D,127533.00,121157.00
