<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.03.30	10:00:00	200100	201600	199900	201400	111	325	0
2021.03.30	11:00:00	201500	202300	201100	201600	186	547	100
2021.03.30	12:00:00	201600	201800	201100	201600	65	318	100
2021.03.30	13:00:00	201500	201500	201200	201300	82	230	100
2021.03.30	14:00:00	201400	202300	201400	202000	182	477	100
2021.03.31	10:00:00	198400	199200	198200	199100	288	978	0
2021.03.31	11:00:00	199000	199600	198900	199400	151	445	100
2021.03.31	12:00:00	199400	199500	199100	199500	61	210	100
2021.03.31	13:00:00	199400	199500	199400	199400	88	244	100
2021.03.31	14:00:00	199300	199500	199000	199500	125	549	100
2021.04.03	10:00:00	198600	199000	197500	198300	541	2032	0
2021.04.03	11:00:00	198300	198300	196400	196500	683	2618	100
2021.04.03	12:00:00	196400	196500	195200	195500	526	1908	100
2021.04.03	13:00:00	195500	195900	195400	195500	204	700	100
2021.04.03	14:00:00	195500	196200	194300	194500	385	1269	100
2021.04.04	10:00:00	192900	194000	192900	193500	354	947	0
2021.04.04	11:00:00	193600	193600	192000	192600	516	2000	100
2021.04.04	12:00:00	192600	192900	192200	192700	288	1210	100
2021.04.04	13:00:00	192700	192700	192500	192500	95	237	100
2021.04.04	14:00:00	192600	193700	192500	193500	329	1480	100
2021.04.05	10:00:00	192400	193000	192200	192300	163	603	100
2021.04.05	11:00:00	192200	192300	190400	191000	229	809	100
2021.04.05	12:00:00	191000	191100	190600	191100	109	363	100
2021.04.05	13:00:00	191100	191700	190800	190900	178	416	100
2021.04.05	14:00:00	191000	191800	190900	191500	114	346	100
2021.04.06	10:00:00	192400	193700	192400	193400	198	619	0
2021.04.06	11:00:00	193300	193600	192700	193200	115	399	100
2021.04.06	12:00:00	193200	193600	193100	193600	69	191	100
2021.04.06	13:00:00	193500	194000	193100	193400	129	425	100
2021.04.06	14:00:00	193200	193500	192700	193300	195	866	100
2021.04.07	10:00:00	194500	195400	194500	195000	183	723	100
2021.04.07	11:00:00	195000	195600	194900	195400	181	543	100
2021.04.07	12:00:00	195300	195300	194800	194900	137	526	100
2021.04.07	13:00:00	194800	194900	194500	194800	181	527	100
2021.04.07	14:00:00	194700	194700	193200	194500	316	1489	100
2021.04.08	10:00:00	194300	194300	191200	193000	152	556	100
2021.04.08	11:00:00	192800	193100	192200	192500	133	549	100
2021.04.08	12:00:00	192600	193300	192500	193300	90	397	100
2021.04.08	13:00:00	193100	193100	192300	192400	66	211	100
2021.04.08	14:00:00	192400	193100	192400	192900	142	376	100
2021.04.10	10:00:00	192300	193900	192300	193800	123	317	100
2021.04.10	11:00:00	193700	195300	193400	193900	254	957	100
2021.04.10	12:00:00	193900	194100	193100	194100	192	664	100
2021.04.10	13:00:00	194000	194000	193000	193400	90	338	100
2021.04.10	14:00:00	193400	194100	193200	193900	114	481	100
2021.04.11	10:00:00	193600	193700	193100	193400	98	304	0
2021.04.11	11:00:00	193400	194500	193200	194300	172	685	100
2021.04.11	12:00:00	193900	194000	193500	193800	129	360	100
2021.04.11	13:00:00	193800	193900	193700	193700	10	26	100
2021.04.11	14:00:00	193800	194000	193400	194000	88	294	0
2021.04.12	10:00:00	194500	194500	193500	194000	27	73	0
