date,open,high,low,close,volume,open_interest,contract,undajusted_close
2004-05-12,75.72797581,75.79322105,75.46699484,75.5539885,706365,1440112,200406,108.5625
2004-05-13,75.45612064,75.51049167,75.18426547,75.30388174,764642,1434150,200406,108.203125
2004-05-14,75.27125912,75.80409525,75.02115237,75.70622739,981013,1431927,200406,108.78125
2004-05-17,75.79322105,76.26081194,75.76059843,76.21731511,705455,1406459,200406,109.515625
2004-05-18,76.21731511,76.22818932,75.90196311,75.99983097,581665,1371662,200406,109.203125
2004-05-19,75.97808256,75.99983097,75.60835953,75.67360477,615984,1351592,200406,108.734375
2004-05-20,75.81496946,76.14119566,75.73885001,76.0433278,604159,1323506,200406,109.265625
2004-05-21,76.10857304,76.28256035,75.79322105,75.82584367,681024,1231069,200406,108.953125
2004-05-24,75.80409525,75.99983097,75.70622739,75.94545994,527558,1303195,200406,109.125
2004-05-25,75.99983097,76.17381828,75.93458573,76.0433278,753055,1368544,200406,109.265625
2004-05-26,76.03245359,76.47829607,76.02157939,76.40217662,925459,1415654,200406,109.78125
2004-05-27,76.45654766,76.83714489,76.31518297,76.82627069,616482,1379194,200406,110.390625
2004-05-28,76.76102545,76.8480191,76.39130242,76.46742186,265421,1371059,200406,109.875
2004-06-01,76.37061,76.44778544,76.01780799,76.29343456,877689,1361296,200409,108.125
2004-06-02,76.29343456,76.33753481,76.02883305,76.11703355,661249,1328994,200409,107.875
2004-06-03,76.06190824,76.30445962,75.92960748,76.23830924,655884,1318826,200409,108.046875
2004-06-04,76.22728418,76.4588105,75.87448217,75.88550723,944181,1357841,200409,107.546875
2004-06-07,75.83038192,76.06190824,75.74218142,76.01780799,509353,1331968,200409,107.734375
2004-06-08,76.01780799,76.10600849,75.73115635,76.01780799,711529,1364968,200409,107.734375
2004-06-09,76.01780799,76.01780799,75.60988066,75.79730673,665705,1351602,200409,107.421875
2004-06-10,75.80833179,75.97370774,75.65398091,75.94063255,608860,1336510,200409,107.625
2004-06-14,75.84140698,75.85243204,75.48860497,75.53270522,649245,1312970,200409,107.046875
2004-06-15,75.52168016,76.64623657,75.52168016,76.56906113,1096072,1316844,200409,108.515625
2004-06-16,76.61316138,76.61316138,76.18318393,76.33753481,620080,1320832,200409,108.1875
2004-06-17,76.31548468,76.62418644,76.10600849,76.547011,737743,1305985,200409,108.484375
2004-06-18,76.56906113,76.76751226,76.43676037,76.4588105,421265,1300034,200409,108.359375
2004-06-21,76.42573531,76.65726163,76.34855987,76.59111125,354824,1275434,200409,108.546875
2004-06-22,76.60213632,76.65726163,76.43676037,76.52496088,313962,1239089,200409,108.453125
2004-06-23,76.43676037,76.65726163,76.35958493,76.59111125,430979,1237977,200409,108.546875
2004-06-24,76.59111125,77.07621402,76.55803606,76.88878795,729455,1265542,200409,108.96875
2004-06-25,76.88878795,77.0210887,76.75648719,76.89981301,396302,1206331,200409,108.984375
2004-06-28,76.89981301,76.99903858,76.31548468,76.39266012,677521,1269375,200409,108.265625
2004-06-29,76.42573531,76.71238694,76.27138443,76.6352115,570751,1246192,200409,108.609375
2004-06-30,76.67931175,77.34081552,76.60213632,77.14236439,892601,1297395,200409,109.328125
