date,open,high,low,close,volume,open_interest,contract,unadjusted_close
2001-02-22,1285.906797,1300.194651,1271.618944,1275.548104,149,1640,200106,892.75
2001-02-23,1207.323604,1250.187164,1207.323604,1221.611458,347,1506,200106,855
2001-02-26,1224.469028,1224.469028,1214.467531,1222.968804,164,1515,200106,855.95
2001-02-27,1218.753887,1224.469028,1204.466034,1221.611458,345,1553,200106,855
2001-02-28,1217.325102,1217.325102,1200.179678,1203.037248,208,1522,200106,842
2001-03-01,1177.319112,1177.319112,1131.597982,1142.385311,239,1416,200106,799.55
2001-03-02,1114.452558,1128.740411,1071.588998,1094.449563,199,1460,200106,766
2001-03-05,1075.875354,1107.308631,1064.445071,1107.308631,123,1502,200106,775
2001-03-06,1113.023772,1117.310128,1103.022275,1103.236593,56,1514,200106,772.15
2001-03-07,1104.45106,1143.028264,1104.45106,1138.241834,73,1487,200106,796.65
2001-03-08,1157.316118,1228.755384,1157.316118,1173.747149,92,1540,200106,821.5
2001-03-09,1178.747898,1178.747898,1150.172191,1160.673763,99,1544,200106,812.35
2001-03-12,1135.884338,1135.884338,1114.452558,1117.595885,67,1536,200106,782.2
2001-03-13,1113.023772,1127.311626,1113.023772,1127.311626,20,1539,200106,789
2001-03-14,1143.028264,1143.028264,1140.170694,1143.028264,13,1533,200106,800
2001-03-15,1143.028264,1147.31462,1140.170694,1144.45705,17,1535,200106,801
2001-03-16,1150.172191,1158.744903,1150.172191,1158.03051,49,1546,200106,810.5
2001-03-19,1150.172191,1155.887332,1150.172191,1154.458547,6,1543,200106,808
2001-03-20,1135.884338,1138.741908,1131.597982,1138.741908,9,1532,200106,797
2001-03-21,1121.596484,1121.596484,1121.596484,1121.596484,2,1532,200106,785
2001-03-22,1114.452558,1114.452558,1107.308631,1110.166202,52,1547,200106,777
2001-03-23,1110.166202,1114.452558,1110.166202,1114.452558,7,1540,200106,780
2001-03-26,1103.022275,1105.879846,1103.022275,1105.879846,7,1540,200106,774
2001-03-27,1101.59349,1101.59349,1101.59349,1101.59349,1,1541,200106,771
2001-03-28,1088.734422,1097.307134,1078.732924,1084.01943,33,1541,200106,758.7
2001-03-29,1071.588998,1071.588998,1054.443574,1054.443574,65,1550,200106,738
2001-03-30,1048.728433,1064.445071,1048.728433,1063.016286,19,1532,200106,744
2001-04-02,1043.013291,1055.872359,1035.869365,1036.369439,37,1546,200106,725.35
2001-04-03,1017.295155,1043.013291,987.2906633,996.7920858,143,1514,200106,697.65
2001-04-04,985.861878,1021.581511,985.861878,995.3633005,89,1531,200106,696.65
2001-04-05,1000.149731,1000.149731,975.8603807,978.7179514,50,1548,200106,685
2001-04-06,985.861878,991.5770193,978.7179514,989.5052806,38,1543,200106,692.55
2001-04-09,978.7179514,990.148234,978.7179514,982.0041576,41,1555,200106,687.3
2001-04-10,960.1437421,971.5740247,960.1437421,968.7164541,64,1571,200106,678
2001-04-11,964.4300981,964.4300981,954.4286007,954.4286007,15,1571,200106,668
2001-04-12,942.9983181,942.9983181,937.2831768,939.9264296,14,1572,200106,657.85
2001-04-16,942.9983181,948.7134594,942.9983181,948.7134594,11,1575,200106,664
2001-04-17,1007.293658,1093.020778,1003.007302,1090.8776,144,1593,200106,763.5
2001-04-18,1113.023772,1113.023772,1050.157218,1053.014789,134,1624,200106,737
2001-04-19,1000.29261,1024.439082,993.0058047,1005.864873,60,1607,200106,704
2001-04-20,987.2906633,1010.151229,987.2906633,1008.07949,39,1608,200106,705.55
2001-04-23,1034.440579,1047.299647,1028.725438,1028.725438,42,1595,200106,720
2001-04-24,1000.149731,1014.437585,993.0058047,1014.437585,23,1591,200106,710
2001-04-25,1008.722443,1014.437585,1008.722443,1011.222818,22,1591,200106,707.75
2001-04-26,1011.222818,1011.222818,1001.864274,1001.864274,19,1605,200106,701.2
2001-04-27,992.291412,992.291412,978.7179514,983.432943,4,1597,200106,688.3
2001-04-30,971.5740247,983.0043074,971.5740247,983.0043074,27,1604,200106,688
2001-05-01,993.0058047,993.0058047,961.5725274,968.7164541,88,1603,200106,678
2001-05-02,963.0013127,974.4315954,961.5725274,963.0013127,25,1606,200106,674
2001-05-03,950.1422448,960.1437421,950.1422448,960.1437421,39,1610,200106,672
2001-05-04,971.5740247,973.00281,967.2876687,971.5740247,38,1611,200106,680
2001-05-07,967.2876687,968.0020614,957.5719285,959.0721531,40,1619,200106,671.25
2001-05-08,958.7149567,962.2869201,957.2861714,961.9297237,114,1628,200106,673.25
2001-05-09,954.4286007,965.8588834,954.4286007,963.0013127,20,1627,200106,674
2001-05-10,957.2861714,957.2861714,929.4248575,943.8555893,114,1632,200106,660.6
2001-05-11,942.9983181,947.2846741,930.1392501,937.2831768,1087,1615,200106,656
2001-05-14,914.4226115,914.4226115,895.8484022,895.8484022,35,1616,200106,627
2001-05-15,915.8513968,918.7089675,908.7074702,918.7089675,63,1606,200106,643
2001-05-16,918.7089675,918.7089675,918.566089,918.566089,38,1583,200106,642.9
2001-05-17,907.2786848,940.8551401,907.2786848,935.4971951,56,1606,200106,654.75
2001-05-18,931.5680355,931.5680355,931.5680355,934.4256061,80,1671,200106,654
2001-05-21,940.1407474,942.9983181,935.8543915,937.9975694,68,1677,200106,656.5
2001-05-22,937.2831768,937.2831768,928.7104648,929.4248575,206,1738,200106,650.5
2001-05-23,918.7089675,920.8521455,917.9945748,919.4233602,188,1743,200106,643.5
2001-05-24,918.4909438,939.7523083,914.2386709,935.8543915,217,1636,200109,660.25
2001-05-25,951.0917026,951.0917026,938.334884,943.295869,110,1495,200109,665.5
2001-05-29,963.8485213,963.8485213,943.295869,943.295869,93,1499,200109,665.5
2001-05-30,946.8394297,946.8394297,922.7432167,925.5780653,57,1477,200109,653
2001-05-31,921.8927621,921.8927621,912.8212466,913.60083,87,1584,200109,644.55
2001-06-01,908.5689738,912.8212466,901.4818523,907.1515495,16,1450,200109,640
