GBRIDXGBP;UK 100 Index;Indices;Europe;19.09.2011;19.09.2011;3;13;3;1;0.1;6
ESPIDXEUR;Spain 35 Index;Indices;Europe;26.02.2013;19.09.2011;3;12;10;1;0.1;6
CHEIDXCHF;Switzerland 20 Index;Indices;Europe;19.09.2011;19.09.2011;3;25;5;1;0.1;6

BTCUSD;BTCUSD;Crypto;Majors;08.05.2017;08.05.2017;1;1;150;0.01;0.01;7

EBSATEUR;Erste Group Bank AG;Stocks;Austria;11.04.2016;11.04.2016;3;0.01;0;0.01;0.001;1
RBIATEUR;Raiffeisen Bank International AG;Stocks;Austria;02.04.2016;02.04.2016;3;0.01;0;0.01;0.001;1
VOEATEUR;Voestalpine AG;Stocks;Austria;11.04.2016;11.04.2016;3;0.01;0;0.01;0.001;1

ABIBEEUR;Anheuser-Busch InBev NV;Stocks;Belgium;21.11.2016;21.11.2016;3;0.01;0;0.01;0.001;1
AGSBEEUR;Ageas;Stocks;Belgium;21.11.2016;21.11.2016;3;0.01;0;0.01;0.001;1
BELGBEEUR;Proximus;Stocks;Belgium;11.07.2016;11.07.2016;3;0.01;0;0.01;0.001;1
KBCBEEUR;KBC Groep NV;Stocks;Belgium;11.07.2016;11.07.2016;3;0.01;0;0.01;0.001;1
SOLBBEEUR;Solvay SA;Stocks;Belgium;11.07.2016;11.07.2016;3;0.01;0;0.01;0.001;1
UCBBEEUR;UCB SA;Stocks;Belgium;11.07.2016;11.07.2016;3;0.01;0;0.01;0.001;1
UMIBEEUR;UmicoreSA;Stocks;Belgium;11.07.2016;11.07.2016;3;0.01;0;0.01;0.001;1

CARLBDKDKK;Carlsberg A/S;Stocks;Denmark;11.07.2016;11.07.2016;3;0.01;0;0.01;0.001;1
COLOBDKDKK;Coloplast A/S;Stocks;Denmark;11.07.2016;11.07.2016;3;0.01;0;0.01;0.001;1
DANSKEDKDKK;Danske Bank A/S;Stocks;Denmark;11.08.2016;11.08.2016;3;0.01;0;0.01;0.001;1
MAERSKBDKDKK;AP Moeller - Maersk A/S;Stocks;Denmark;11.08.2016;11.08.2016;3;0.01;0;0.01;0.001;1
NOVOBDKDKK;Novo Nordisk A/S;Stocks;Denmark;11.08.2016;11.08.2016;3;0.01;0;0.01;0.001;1
NZYMBDKDKK;Novozymes A/S;Stocks;Denmark;11.08.2016;11.08.2016;3;0.01;0;0.01;0.001;1
PNDORADKDKK;Pandora A/S;Stocks;Denmark;11.08.2016;11.08.2016;3;0.01;0;0.01;0.001;1
VWSDKDKK;Vestas Wind Systems A/S;Stocks;Denmark;11.08.2016;11.08.2016;3;0.01;0;0.01;0.001;1

ADSDEEUR;Adidas AG;Stocks;Germany;13.03.2015;13.03.2015;3;0.01;0;0.01;0.001;1
ALVDEEUR;Allianz SE;Stocks;Germany;09.04.2015;09.04.2015;3;0.01;0;0.01;0.001;1
BASDEEUR;BASF SE;Stocks;Germany;22.04.2015;22.04.2015;3;0.01;0;0.01;0.001;1
BEIDEEUR;Beiersdorf AG;Stocks;Germany;20.03.2015;20.03.2015;3;0.01;0;0.01;0.001;1
BMWDEEUR;Bayerische Motoren Werke AG;Stocks;Germany;08.04.2015;08.04.2015;3;0.01;0;0.01;0.001;1
BOSSDEEUR;HUGO BOSS AG;Stocks;Germany;09.04.2015;09.04.2015;3;0.01;0;0.01;0.001;1
CBKDEEUR;Commerzbank AG;Stocks;Germany;26.03.2015;26.03.2015;3;0.01;0;0.01;0.001;1
CONDEEUR;Continental AG;Stocks;Germany;08.04.2015;08.04.2015;3;0.01;0;0.01;0.001;1
DAIDEEUR;Daimler AG;Stocks;Germany;27.03.2015;27.03.2015;3;0.01;0;0.01;0.001;1
DB1DEEUR;Deutsche Boerse AG;Stocks;Germany;14.04.2015;14.04.2015;3;0.01;0;0.01;0.001;1
DBKDEEUR;Deutsche Bank AG;Stocks;Germany;25.03.2015;25.03.2015;3;0.01;0;0.01;0.001;1
DPWDEEUR;Deutsche Post AG;Stocks;Germany;31.03.2015;31.03.2015;3;0.01;0;0.01;0.001;1
DTEDEEUR;Deutsche Telekom AG;Stocks;Germany;31.03.2015;31.03.2015;3;0.01;0;0.01;0.001;1
EOANDEEUR;EON SE;Stocks;Germany;20.04.2015;20.04.2015;3;0.01;0;0.01;0.001;1
FMEDEEUR;Fresenius Medical Care AG & Co KGaA;Stocks;Germany;01.04.2015;01.04.2015;3;0.01;0;0.01;0.001;1
FREDEEUR;Fresenius SE & Co KGaA;Stocks;Germany;10.04.2015;10.04.2015;3;0.01;0;0.01;0.001;1
HEIDEEUR;HeidelbergCement AG;Stocks;Germany;02.04.2015;02.04.2015;3;0.01;0;0.01;0.001;1
HEN3DEEUR;Henkel AG & Co KGaA;Stocks;Germany;21.04.2015;21.04.2015;3;0.01;0;0.01;0.001;1
IFXDEEUR;Infineon Technologies AG;Stocks;Germany;13.04.2015;13.04.2015;3;0.01;0;0.01;0.001;1
LHADEEUR;Deutsche Lufthansa AG;Stocks;Germany;21.04.2015;21.04.2015;3;0.01;0;0.01;0.001;1
LINDEEUR;Linde AG;Stocks;Germany;21.04.2015;21.04.2015;3;0.01;0;0.01;0.001;1
LXSDEEUR;Lanxess AG;Stocks;Germany;21.04.2015;21.04.2015;3;0.01;0;0.01;0.001;1
MRKDEEUR;Merck KGaA;Stocks;Germany;24.03.2015;24.03.2015;3;0.01;0;0.01;0.001;1
MUV2DEEUR;Muenchener Rueckversicherungs AG;Stocks;Germany;21.04.2015;21.04.2015;3;0.01;0;0.01;0.001;1
PAH3DEEUR;Porsche Automobil Holding SE;Stocks;Germany;21.04.2015;21.04.2015;3;0.01;0;0.01;0.001;1
PSMDEEUR;ProSiebenSat1 Media AG;Stocks;Germany;20.04.2015;20.04.2015;3;0.01;0;0.01;0.001;1
RWEDEEUR;RWE AG;Stocks;Germany;16.04.2015;16.04.2015;3;0.01;0;0.01;0.001;1
SAPDEEUR;SAP AG;Stocks;Germany;16.04.2015;16.04.2015;3;0.01;0;0.01;0.001;1
SDFDEEUR;K+S AG;Stocks;Germany;15.04.2015;15.04.2015;3;0.01;0;0.01;0.001;1
SIEDEEUR;Siemens AG;Stocks;Germany;20.04.2015;20.04.2015;3;0.01;0;0.01;0.001;1
TKADEEUR;ThyssenKrupp AG;Stocks;Germany;14.04.2015;14.04.2015;3;0.01;0;0.01;0.001;1
TUI1DEEUR;TUI AG;Stocks;Germany;15.04.2015;15.04.2015;3;0.01;0;0.01;0.001;1
VNADEEUR;Vonovia SE;Stocks;Germany;14.04.2015;14.04.2015;3;0.01;0;0.01;0.001;1
VOW3DEEUR;Volkswagen AG;Stocks;Germany;14.04.2015;14.04.2015;3;0.01;0;0.01;0.001;1

