<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2020.07.11,12:00:00,147100,147500,138300,138300,25862
2020.07.12,8:00:00,134700,136900,131500,131500,22992
2020.07.12,12:00:00,131500,131800,131500,131500,6280
2020.07.13,8:00:00,125000,127200,125000,125000,3394
2020.07.13,12:00:00,125000,125000,121500,121500,4773
2020.07.14,8:00:00,118800,118800,118800,118800,958
2020.07.14,12:00:00,118800,118800,118800,118800,1061
2020.07.14,16:00:00,112200,112200,112200,112200,4101
2020.07.15,8:00:00,112900,112900,112900,112900,396
2020.07.15,12:00:00,112900,117000,112900,112900,28149
2020.07.16,8:00:00,111000,112300,107400,109700,23929
2020.07.16,12:00:00,109600,115500,107400,107400,33662
2020.07.18,8:00:00,110000,115600,110000,115600,12304
2020.07.18,12:00:00,115600,115600,115600,115600,109
2020.07.19,8:00:00,120600,120600,120600,120600,127
2020.07.19,12:00:00,120600,120600,120600,120600,47
2020.07.20,8:00:00,126600,126600,114600,114600,32703
2020.07.20,12:00:00,114600,117700,114600,115200,37220
2020.07.21,8:00:00,111200,118300,110500,116100,17893
2020.07.21,12:00:00,116500,121000,112200,117200,29425
2020.07.22,8:00:00,116600,123100,116300,118700,11914
2020.07.22,12:00:00,119000,125200,118900,122300,19658
2020.07.23,8:00:00,123000,123800,120700,122800,12956
2020.07.23,12:00:00,122800,128200,122500,126000,31475
2020.07.25,8:00:00,128000,132300,128000,129300,17995
2020.07.25,12:00:00,129300,131700,126500,126500,29154
2020.07.26,8:00:00,126100,130900,125000,130000,21147
2020.07.26,12:00:00,129900,130500,125000,125000,31118
2020.07.27,8:00:00,125000,125000,120700,120700,25871
2020.07.27,12:00:00,120700,120700,120700,120700,474
2020.07.28,8:00:00,117500,119500,116200,118400,14586
2020.07.28,12:00:00,118500,118500,115200,116800,19527
2020.07.29,8:00:00,115700,119000,115600,115900,17485
2020.07.29,12:00:00,115900,116200,111300,115100,27088
2020.07.30,8:00:00,115900,116500,113100,114000,12587
2020.07.30,12:00:00,114000,117700,113600,117400,17568
2020.08.01,8:00:00,117500,120200,117400,119000,18117
2020.08.01,12:00:00,119000,122900,118800,122900,22263
2020.08.02,8:00:00,125000,127300,121800,123200,26471
2020.08.02,12:00:00,123300,124300,120200,120500,28505
2020.08.03,8:00:00,121500,121900,117800,118500,26003
2020.08.03,12:00:00,118400,124500,118000,124400,51193
2020.08.04,8:00:00,124100,128800,124100,126800,27421
2020.08.04,12:00:00,126800,128900,126800,127700,19389
2020.08.05,8:00:00,127000,135100,126300,135100,36497
2020.08.05,12:00:00,135100,135100,133600,135100,12196
2020.08.06,8:00:00,138500,141300,136800,140500,5853
2020.08.06,12:00:00,139900,141600,139400,141600,3874
2020.08.09,8:00:00,141600,146600,135000,142800,30125
2020.08.09,12:00:00,142900,142900,134600,134600,21613
2020.08.10,8:00:00,130700,133200,129200,130500,26864
2020.08.10,12:00:00,130700,140000,130100,139800,33980
2020.08.11,8:00:00,141000,144100,138700,140500,22932
2020.08.11,12:00:00,140500,144300,134200,135800,39914
2020.08.12,8:00:00,137900,139500,135700,139400,16462
2020.08.12,12:00:00,139200,140200,134500,137700,24067
2020.08.13,8:00:00,139500,142700,138500,140200,20955
2020.08.13,12:00:00,140200,144200,140000,144200,30218
2020.08.15,8:00:00,146600,148600,141000,142500,30350
2020.08.15,12:00:00,142500,144700,136900,136900,29714
2020.08.16,8:00:00,135400,136000,130600,130600,20432
2020.08.16,12:00:00,130600,130700,130600,130600,4872
2020.08.17,8:00:00,127600,128800,124100,124100,13010
2020.08.17,12:00:00,124100,124100,120500,120500,510
2020.08.18,8:00:00,118200,120400,118000,118000,9184
2020.08.18,12:00:00,118000,118000,114300,114300,3897
2020.08.19,8:00:00,112200,112200,112200,112200,631
2020.08.19,12:00:00,112200,123900,112200,123900,23026
2020.08.20,8:00:00,129000,129700,123000,123700,39035
2020.08.20,12:00:00,123700,126800,117500,117600,34506
2020.08.22,8:00:00,118900,119700,114200,114600,15119
2020.08.22,12:00:00,114700,124200,112500,114400,45942
2020.08.23,8:00:00,114200,117000,112900,115700,21545
2020.08.23,12:00:00,115600,119000,114900,117400,30696
2020.08.24,8:00:00,118100,120600,116500,119200,20634
2020.08.24,12:00:00,119100,123500,118800,123300,41287
2020.08.25,8:00:00,124400,124700,118500,119000,20694
2020.08.25,12:00:00,119000,126100,117400,121200,33973
2020.08.26,8:00:00,121700,125300,121000,123600,17873
2020.08.26,12:00:00,123700,125700,120900,121600,23973
2020.08.27,8:00:00,120600,121500,119300,120300,13902
2020.08.27,12:00:00,120300,121500,118400,118700,17086
2020.08.31,8:00:00,116400,117900,116000,117200,12119
2020.08.31,12:00:00,117200,117200,113500,114200,31784
2020.09.01,8:00:00,114000,117000,113600,116000,20316
2020.09.01,12:00:00,116000,116100,114000,115200,17889
2020.09.02,8:00:00,115400,116000,114100,114600,11245
2020.09.02,12:00:00,114500,116400,112900,115600,27563
2020.09.03,8:00:00,116000,116600,114800,115200,10613
2020.09.03,12:00:00,115200,115900,114900,115200,7865
2020.09.05,8:00:00,114600,115100,114200,114800,10529
2020.09.05,12:00:00,114800,116200,114200,116100,20137
2020.09.06,8:00:00,115800,116600,115100,115600,7141
2020.09.06,12:00:00,115600,116100,113400,114100,17188
2020.09.07,8:00:00,113200,113800,112700,113700,13247
2020.09.07,12:00:00,113600,113700,108300,108300,37047
2020.09.08,8:00:00,105200,105700,103300,103300,22618
2020.09.08,12:00:00,103400,108700,103300,107700,37437
2020.09.09,8:00:00,107900,109300,105500,106300,30454
2020.09.09,12:00:00,106100,109800,105200,109100,27741
2020.09.10,8:00:00,109700,111100,106900,108900,19576
2020.09.10,12:00:00,108900,109200,106000,106000,17005
2020.09.12,8:00:00,105200,106700,104100,105500,12703
2020.09.12,12:00:00,105500,106100,101800,101800,33184
2020.09.13,8:00:00,100300,101100,98900,99800,25471
2020.09.13,12:00:00,99800,106400,99300,106200,39566
2020.09.14,8:00:00,106000,106800,102500,104600,20639
2020.09.14,12:00:00,104600,106100,101400,101500,30051
2020.09.15,8:00:00,100800,103600,99500,102800,18797
2020.09.15,12:00:00,102800,103600,97300,97500,34320
2020.09.16,8:00:00,96700,99300,96300,97800,18015
2020.09.16,12:00:00,97800,99200,94800,97900,35128
2020.09.17,8:00:00,98000,99000,97400,98300,8819
2020.09.17,12:00:00,98400,98500,95800,96600,17486
2020.09.19,8:00:00,99000,101300,97900,101300,11082
2020.09.19,12:00:00,101300,101300,101300,101300,602
2020.09.20,8:00:00,106300,106300,100000,101100,35071
2020.09.20,12:00:00,101100,101200,96400,98000,29983
2020.09.21,8:00:00,97800,101400,97000,98900,28155
2020.09.21,12:00:00,98900,99700,94000,94400,39107
2020.09.22,8:00:00,94900,95100,91600,92500,16099
2020.09.22,12:00:00,92500,93400,90500,91400,19666
2020.09.23,8:00:00,92000,92600,88900,89400,10693
2020.09.23,12:00:00,89400,92300,89200,90500,13946
2020.09.24,8:00:00,90100,91500,89500,90800,6575
2020.09.24,12:00:00,90700,92600,90000,91600,13548
2020.09.26,8:00:00,91500,93400,90900,91600,9667
2020.09.26,12:00:00,91600,94000,91300,92500,14593
2020.09.27,8:00:00,92800,93100,88200,88400,17474
2020.09.27,12:00:00,88400,88700,88200,88200,3043
2020.09.28,8:00:00,84700,85200,83900,83900,7560
2020.09.28,12:00:00,83900,84300,83900,83900,5012
2020.09.29,8:00:00,81700,82300,79800,80900,7242
2020.09.29,12:00:00,80500,84500,79800,81000,15047
2020.09.30,8:00:00,80500,82700,80000,82200,4454
2020.09.30,12:00:00,82200,83100,80800,81400,8585
2020.10.01,8:00:00,83700,83800,81000,81700,2070
2020.10.01,12:00:00,81700,86300,81300,86300,10378
2020.10.03,8:00:00,90500,90500,90500,90500,201
2020.10.03,12:00:00,90500,90500,90500,90500,12
2020.10.04,8:00:00,95000,95000,89500,90800,19062
2020.10.04,12:00:00,90700,94300,87000,92300,19484
2020.10.05,8:00:00,92800,93000,90800,91700,8078
2020.10.05,12:00:00,91600,93300,90900,91500,10437
2020.10.06,8:00:00,91100,94800,90400,93600,6379
2020.10.06,12:00:00,93700,95600,92400,94900,12242
2020.10.07,8:00:00,96700,99300,95200,98600,8071
2020.10.07,12:00:00,98400,99700,97800,99700,10605
2020.10.10,8:00:00,100000,104100,99200,99500,13142
2020.10.10,12:00:00,99500,104100,99200,104100,17782
2020.10.11,8:00:00,104700,108300,104500,107400,14896
2020.10.11,12:00:00,107600,108600,107500,108600,7232
2020.10.12,8:00:00,109600,109800,102900,102900,9672
2020.10.12,12:00:00,102900,102900,102900,102900,134
2020.10.13,8:00:00,98100,100000,98100,98100,7112
2020.10.13,12:00:00,98100,98100,98100,98100,104
2020.10.14,8:00:00,95300,98200,94200,95600,7347
2020.10.14,12:00:00,95600,97900,93300,93300,7714
2020.10.15,8:00:00,92700,94000,90000,90000,5649
2020.10.15,12:00:00,90000,90300,88700,88800,8261
2020.10.18,8:00:00,87900,93900,87000,93900,13915
2020.10.18,12:00:00,93900,93900,91700,93600,16486
2020.10.19,8:00:00,92700,92700,88600,89000,10343
2020.10.19,12:00:00,89000,89300,88600,88600,5568
2020.10.20,8:00:00,85400,85500,84300,84900,8489
2020.10.20,12:00:00,84800,90700,84300,88500,9032
2020.10.21,8:00:00,86000,87300,85100,86900,3867
2020.10.21,12:00:00,87000,89400,85100,85600,5771
2020.10.22,8:00:00,84000,84700,83500,83600,1646
2020.10.22,12:00:00,83600,85400,82400,83500,3149
2020.10.24,8:00:00,81400,83400,81400,82600,2163
2020.10.24,12:00:00,82700,83500,82000,82100,2010
2020.10.26,8:00:00,83100,84200,83000,83300,3185
2020.10.26,12:00:00,83200,84000,82100,83500,2112
2020.10.27,8:00:00,82700,82700,81000,81500,1702
2020.10.27,12:00:00,81500,81500,79200,79200,2509
2020.10.28,8:00:00,77000,77800,76000,77000,2228
2020.10.28,12:00:00,76700,77300,75300,77000,6152
2020.10.29,8:00:00,77000,77400,74500,76700,2705
2020.10.29,12:00:00,76700,78800,76600,77500,3734
