Block;OppositeBlock
MarketPositionIsLong;MarketPositionIsShort
MarketPositionIsShort;MarketPositionIsLong
MarketPositionSize;MarketPositionSize
MarketPositionsCount;MarketPositionsCount
Maximum;Maximum
Minimum;Minimum
Minus;Plus
MomChangesDown;MomChangesDown
MomChangesUp;MomChangesUp
MomCrossDown;MomCrossDown
MomCrossUp;MomCrossUp
MomFalling;MomFalling
MomHigher;MomHigher
MomLower;MomLower
MomRising;MomRising
Momentum;Momentum
MovingAverage;MovingAverage
Multiplication;Multiplication
NoTradeRecentlyClosed;NoTradeRecentlyClosed
Not;Not
NotEquals;Equals
Number;Number
OR;OR
OSMA;OSMA
OSMAChangesDown;OSMAChangesUp
OSMAChangesUp;OSMAChangesDown
OSMACrossZeroDown;OSMACrossZeroUp
OSMACrossZeroUp;OSMACrossZeroDown
OSMAFalling;OSMARising
OSMAHigherZero;OSMALowerZero
OSMALowerZero;OSMAHigherZero
OSMARising;OSMAFalling
Open;Open
OpenD;OpenD
OpenPLInMoney;OpenPLInMoney
OpenPLInPips;OpenPLInPips
OrderOpenPrice;OrderOpenPrice
OrderPT;OrderPT
OrderSL;OrderSL
PSARBarHigher;PSARBarLower
PSARBarLower;PSARBarHigher
ParabolicSAR;ParabolicSAR
PendingOrderDoesntExist;PendingOrderDoesntExist
PendingOrderExists;PendingOrderExists
PiercingLine;DarkCloud
Pivots;Pivots
Plus;Minus
QQE;QQE
QQEValue1ChangesDown;QQEValue1ChangesUp
QQEValue1ChangesUp;QQEValue1ChangesDown
QQEValue1CrossAbove;QQEValue1CrossBelow
QQEValue1CrossAboveValue2;QQEValue1CrossBelowValue2
QQEValue1CrossBelow;QQEValue1CrossAbove
QQEValue1CrossBelowValue2;QQEValue1CrossAboveValue2
QQEValue1Falling;QQEValue1Rising
QQEValue1Higher;QQEValue1Lower
QQEValue1HigherValue2;QQEValue1LowerValue2
QQEValue1Lower;QQEValue1Higher
QQEValue1LowerValue2;QQEValue1HigherValue2
QQEValue1Rising;QQEValue1Falling
QQEValue2Falling;QQEValue2Rising
QQEValue2Rising;QQEValue2Falling
RSI;RSI
RSIChangesDown;RSIChangesUp
RSIChangesUp;RSIChangesDown
RSICrossDown;RSICrossUp
RSICrossUp;RSICrossDown
RSIFalling;RSIRising
RSIHigher;RSILower
RSILower;RSIHigher
RSIRising;RSIFalling
Recent;Recent
Round;Round
SMA;SMA
SMMA;SMMA
SendEmail;SendEmail
SetProfitTarget;SetProfitTarget
SetStopLoss;SetStopLoss
ShootingStar;Hammer
SmallestRange;SmallestRange
Spread;Spread
SpreadInPips;SpreadInPips
SquareRoot;SquareRoot
StdDev;StdDev
StdDevChangesDown;StdDevChangesDown
StdDevChangesUp;StdDevChangesUp
StdDevCrossDown;StdDevCrossDown
StdDevCrossUp;StdDevCrossUp
StdDevFalling;StdDevFalling
StdDevHigher;StdDevHigher
StdDevLower;StdDevLower
StdDevRising;StdDevRising
StochFastKCrossDown;StochFastKCrossUp
StochFastKCrossUp;StochFastKCrossDown
StochFastKDown;StochFastKUp
StochFastKUp;StochFastKDown
StochSlowDChangesDown;StochSlowDChangesUp
StochSlowDChangesUp;StochSlowDChangesDown
StochSlowDCrossDown;StochSlowDCrossUp
StochSlowDCrossUp;StochSlowDCrossDown
StochSlowDFalling;StochSlowDRising
StochSlowDHigher;StochSlowDLower
StochSlowDLower;StochSlowDHigher
StochSlowDRising;StochSlowDFalling
Stochastic;Stochastic
TEMA;TEMA
TradeRecentlyClosed;TradeRecentlyClosed
Volume;Volume
VolumeFalling;VolumeFalling
VolumeRising;VolumeRising
WPRChangesDown;WPRChangesUp
WPRChangesUp;WPRChangesDown
WPRCrossDown;WPRCrossUp
WPRCrossUp;WPRCrossDown
WPRFalling;WPRRising
WPRHigher;WPRLower
WPRLower;WPRHigher
WPRRising;WPRFalling
WilliamsPR;WilliamsPR
