Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2020-06-26,16.52,17.06,16.33,16.84,0.17,16.667,1025.0,24240.0,15.0,,120.0
2020-06-29,16.62,18.21,16.62,18.02,1.18,17.664,2225.0,24445.0,,,100.0
2020-06-30,18.23,19.05,17.8,18.25,0.23,18.445,3755.0,25260.0,,,65.0
2020-07-01,17.96,18.38,17.4,17.5,-0.75,17.788,1945.0,25110.0,,,
2020-07-02,17.37,17.61,17.01,17.5,0.0,17.29,2430.0,25137.0,,,
2020-07-03,17.0,17.79,17.0,17.71,0.21,17.502,3105.0,26065.0,,,
2020-07-06,18.1,18.35,17.96,18.22,0.51,18.194,1905.0,26790.0,,,
2020-07-07,18.29,18.82,18.22,18.34,0.12,18.579,2770.0,26360.0,,,750.0
2020-07-08,18.03,18.36,17.77,17.88,-0.46,18.031,2560.0,27100.0,,,60.0
2020-07-09,17.46,17.78,17.34,17.36,-0.52,17.53,1290.0,27605.0,,,
2020-07-10,16.86,16.93,16.49,16.64,-0.72,16.672,2660.0,28010.0,,,
2020-07-13,16.4,16.78,15.3,15.45,-1.19,15.937,6785.0,28955.0,,,50.0
2020-07-14,15.71,15.93,14.9,15.24,-0.21,15.265,7590.0,31930.0,,,2155.0
2020-07-15,15.05,15.92,15.05,15.37,0.13,15.454,7500.0,36540.0,,,4485.0
2020-07-16,14.92,15.15,14.77,14.98,-0.39,14.979,4845.0,43780.0,,,280.0
2020-07-17,14.95,15.28,14.87,15.08,0.1,15.125,4670.0,46020.0,,,125.0
2020-07-20,14.75,14.75,13.72,13.81,-1.27,14.078,7060.0,48845.0,,,
2020-07-21,14.41,14.51,14.15,14.2,0.39,14.255,5755.0,51996.0,,,50.0
2020-07-22,13.95,14.68,13.63,14.36,0.16,14.239,7160.0,54756.0,,,
2020-07-23,14.58,15.13,14.55,14.91,0.55,14.922,4190.0,58347.0,,,
2020-07-24,14.66,15.12,14.5,14.78,-0.13,14.699,4495.0,60687.0,,,135.0
2020-07-27,14.95,14.95,14.26,14.56,-0.22,14.647,3095.0,63052.0,,,100.0
2020-07-28,14.25,14.98,14.25,14.89,0.33,14.723,3905.0,63997.0,,,550.0
2020-07-29,15.05,15.86,14.9,15.37,0.48,15.426,5935.0,63822.0,200.0,,70.0
2020-07-30,15.67,16.27,15.04,15.76,0.39,15.729,7800.0,64427.0,,,
2020-07-31,16.09,16.1,15.48,15.64,-0.12,15.707,3440.0,65697.0,,,
2020-08-03,15.17,18.76,14.56,18.19,2.55,17.52,9490.0,65757.0,,,705.0
2020-08-04,18.45,20.14,18.45,19.79,1.6,19.58,13380.0,63487.0,,,905.0
2020-08-05,19.55,20.32,19.42,19.95,0.16,19.947,14625.0,57683.0,,,805.0
2020-08-06,20.23,21.7,20.11,21.61,1.66,21.22,10480.0,51150.0,,,720.0
2020-08-07,20.9,22.78,20.58,21.82,0.21,22.273,14010.0,45925.0,,,825.0
2020-08-10,22.25,22.97,20.71,20.9,-0.92,21.858,10140.0,40530.0,,,710.0
2020-08-11,20.72,22.29,20.45,20.57,-0.33,21.3,11575.0,36830.0,,,655.0
2020-08-12,20.0,20.98,19.66,20.15,-0.42,20.215,9490.0,35400.0,,,725.0
2020-08-13,20.5,20.97,20.17,20.31,0.16,20.535,5605.0,34365.0,,,595.0
2020-08-14,20.7,22.9,20.37,22.01,1.7,21.409,8540.0,34400.0,,,600.0
2020-08-17,22.7,23.6,22.21,22.48,0.47,22.778,9290.0,34700.0,1000.0,,395.0
2020-08-18,22.42,24.23,22.3,23.51,1.03,23.509,7175.0,33528.0,850.0,,500.0
2020-08-19,24.12,24.9,22.69,22.99,-0.52,23.408,10545.0,31835.0,370.0,,40.0
2020-08-20,22.89,23.2,22.34,22.58,-0.41,22.864,8780.0,32035.0,1965.0,,
2020-08-21,22.1,22.12,20.59,21.05,-1.53,21.114,7690.0,30500.0,850.0,,80.0
2020-08-24,21.6,23.52,21.5,23.22,2.17,22.824,8940.0,29740.0,1325.0,,470.0
2020-08-25,23.4,24.79,22.93,24.61,1.39,24.056,8425.0,26278.0,300.0,,
2020-08-26,24.65,26.27,24.65,25.1,0.49,25.468,9280.0,26010.0,2615.0,,120.0
2020-08-27,28.25,28.25,26.5,26.68,-1.09,27.132,7115.0,40744.0,30.0,,370.0
